,title,price,metros2,location,Rooms,region
323,"Apartamento T3+1, vista mar, na Parede, em Cascais",2850,121,"Carcavelos e Parede, Cascais",3, Lisboa
324,"T2 REMODELADO, com pátio “Cooperativa dos Arquitectos"", arrendament...",2250,93,"Aldoar, Foz do Douro e Nevogilde",2, Porto
325,APARTAMENTO T3 COMO NOVO NA LAPA / ESTRELA,3500,170,Estrela,3, Lisboa
326,"Apartamento T4 Remodelado, Box 2 Carros - Costa da Guia, ...",4500,155,"Cascais e Estoril, Cascais",4, Lisboa
327,Apartamento T3 | Rio Tinto | Luxo | Varanda | Box Garagem 2x | Metro,1300,148,"Rio Tinto, Gondomar",3, Porto
328,T1 Soalheiro remodelado a estrear,1200,55,Benfica,1, Lisboa
329,Apartamento T3 para arrendamento,1970,116,Lumiar,3, Lisboa
330,Apartamento T5 | Pedroso | Renovado | 273m2 área útil Terraços | Varan,1900,273,"Pedroso e Seixezelo, Vila Nova de Gaia",5, Porto
331,T4 Duplex Novo C/Garagem Antas Garden - Porto,3000,189,Bonfim,4, Porto
332,T4 Vista Frontal de Mar em Cascais,9000,225,"Cascais e Estoril, Cascais",4, Lisboa
333,Apartamento - 137 m2 - T4,4000,137,"Cascais e Estoril, Cascais",137, Lisboa
334,Apartamento T3 para arrendamento,3200,113.82,Arroios,3, Lisboa
335,Fantástico T3 na Costa da Guia com Grande Área Exterior,3900,135,"Cascais e Estoril, Cascais",3, Lisboa
336,T4 Cascais Vista Frontal de Mar,9000,302,"Cascais e Estoril, Cascais",4, Lisboa
337,Apartamento T3 para arrendamento,2000,180,"Costa, Guimarães",3, Braga
338,T3 em condomínio de luxo na Quinta da Bicuda com vista mar,3600,150,"Cascais e Estoril, Cascais",3, Lisboa
339,"Apartamento T3+1 duplex sem móveis, novo a estrear, na Qu...",6500,330,"Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim), Sintra",3, Lisboa
340,Arrendamento Apartamento T8 na Zona da Estrela,5000,222,Campo de Ourique,8, Lisboa
341,"Excelente T3 - Mobilado, Porto ; Carvalhido",1100,120,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",3, Porto
342,Apartamento T2 +1 DUPLEX COM VARANDA NA GUIA,2550,100,"Cascais e Estoril, Cascais",2, Lisboa
343,Apartamento T2 no Bairro do Rosário,2000,78,"Cascais e Estoril, Cascais",2, Lisboa
344,Apartamento T2 em condomínio fechado em Caxias,2450,120,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras",2, Lisboa
345,Apartamento T2 com Terraço para Arrendamento,2000,79,Alvalade,2, Lisboa
346,Apartamento de 5 assoalhadas em Cacilhas - Almada,2200,96,"Almada, Cova da Piedade, Pragal e Cacilhas, Almada",5, Setúbal
347,Apartamento T2 para arrendamento,890,70,"Alto do Seixalinho, Santo André e Verderena, Barreiro",2, Setúbal
348,Apartamento T1 para arrendamento,1000,55,"Quarteira, Loulé",1, Faro
349,Apartamento T1 para arrendamento,1300,38,Campolide,1, Lisboa
350,Apartamento para arrendar nos Anjos,1500,50,Arroios,, Lisboa
351,Apartamento T2 para arrendamento,1200,93,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Oeiras",2, Lisboa
352,"Arrendamento T1 56m2 ABP e  garagem, em  Estrela- Campo de Ourique , f",1600,56,Estrela,1, Lisboa
353,Apartamento T2 para arrendar em Matosinhos - Porto,1500,90,"Matosinhos e Leça da Palmeira, Matosinhos",2, Porto
354,Apartamento Mobilado e equipado com bons acessos,1250,83.3,"Gondomar (São Cosme), Valbom e Jovim, Gondomar",, Porto
355,J/Quinta Covêlo- Excelente T3 Duplex Recuado C/terraço e varanda,1200,120,Paranhos,3, Porto
356,Apartamento T2 luxo no polo universitário- Asprela Domus III,1100,70,Paranhos,2, Porto
357,"T2 com terraço para arrendar, no Amial, Porto",850,75,Paranhos,2, Porto
358,T2 p/a arrendamento em Loures junto ao Hospital Beatriz Ângelo,900,83,Loures,2, Lisboa
359,Apartamento T2,700,64,Santo António dos Olivais,2, Coimbra
360,Apartamento T2 para arrendamento,1100,61,Sines,2, Setúbal
361,T3 Estrela com vista Rio,2100,115,Estrela,3, Lisboa
362,Arrendamento de Apartamento T3 na Rua Antero Henriques Silva - Costa,1300,150,"Costa, Guimarães",3, Braga
363,T2 Mobilado e Equipado - Ao IC29 Gondomar Este,1250,83.3,"Fânzeres e São Pedro da Cova, Gondomar",2, Porto
364,T3 de Luxo c/garagem fechada p/2 carros centro de Gaia,2200,135,"Mafamude e Vilar do Paraíso, Vila Nova de Gaia",3, Porto
