,title,price,metros2,location,rooms,region
1665,T4 duplex - Bessa,2600.0,220.0,Ramalde,4, Porto
1666,"Arenda-se T4+1 na Solum, proximo ao Alma shopping",975.0,155.0,Santo Antonio dos Olivais,4, Coimbra
1667,"Apartamento, para arrendamento, Lisboa - S. Domingos de Benfica",1000.0,60.0,Sao Domingos de Benfica,2, Lisboa
1668,"Apartamento em Gondomar, Jovim",860.0,94.0,"Gondomar (Sao Cosme), Valbom e Jovim, Gondomar",2, Porto
1669,"Apartamento em Aveiro, Vera Cruz",910.0,85.0,Gloria e Vera Cruz,2, Aveiro
1670,"Apartamento em Gondomar, Jovim",880.0,97.0,"Gondomar (Sao Cosme), Valbom e Jovim, Gondomar",2, Porto
1671,"Apartamento em Maia, Moreira",880.0,89.0,"Moreira, Maia",2, Porto
1672,Apartamento T1 com garagem na zona da quinta da Maia,800.0,56.0,Santo Antonio dos Olivais,1, Coimbra
1673,"Apartamento em Seixal, Seixal",830.0,68.0,"Seixal, Arrentela e Aldeia de Paio Pires, Seixal",2, Setubal
1674,"Apartamento em Amadora, Brandoa",730.0,95.0,"Encosta do Sol, Amadora",1, Lisboa
1675,"Apartamento em Penafiel, Paco de Sousa",460.0,55.0,"Paco de Sousa, Penafiel",1, Porto
1676,"Apartamento em Sintra, Algueirao-Mem Martins",890.0,80.0,"Algueirao-Mem Martins, Sintra",2, Lisboa
1677,"Apartamento em Azambuja, Azambuja",830.0,123.0,Azambuja,2, Lisboa
1678,Apartamento T0 na zona da Alta da cidade junto a Universidade de Coimb,625.0,31.0,"Coimbra (Se Nova, Santa Cruz, Almedina e Sao Bartolomeu)",0, Coimbra
1679,"Apartamento em Gondomar, Jovim",840.0,121.0,"Gondomar (Sao Cosme), Valbom e Jovim, Gondomar",3, Porto
1680,"Apartamento em Sesimbra, Quinta do Conde",980.0,119.0,"Quinta do Conde, Sesimbra",2, Setubal
1681,"Apartamento em Maia, Aguas Santas",910.0,100.0,"Aguas Santas, Maia",3, Porto
1682,"Apartamento em Sintra, Algueirao-Mem Martins",1070.0,122.0,"Algueirao-Mem Martins, Sintra",3, Lisboa
1683,"Apartamento em Gondomar, Sao Pedro da Cova",840.0,82.0,"Fanzeres e Sao Pedro da Cova, Gondomar",2, Porto
1684,"Apartamento em Paredes, Rebordosa",550.0,80.0,"Rebordosa, Paredes",1, Porto
1685,"Apartamento em Sintra, Agualva",900.0,90.0,"Agualva e Mira-Sintra, Sintra",3, Lisboa
1686,"Apartamento em Sintra, Agualva",1160.0,129.0,"Agualva e Mira-Sintra, Sintra",3, Lisboa
1687,T6 DUPLEX DE LUXO PRAIA DE ESPINHO,1900.0,464.0,Espinho,6, Aveiro
1688,"Apartamento em Penafiel, Paco de Sousa",690.0,127.0,"Paco de Sousa, Penafiel",3, Porto
1689,"Apartamento em Guimaraes, Aldao",730.0,145.0,"Aldao, Guimaraes",3, Braga
1690,"Apartamento em Barreiro, Santo Andre",980.0,130.0,"Alto do Seixalinho, Santo Andre e Verderena, Barreiro",1, Setubal
1691,"Apartamento em Gondomar, Fanzeres",770.0,86.0,"Fanzeres e Sao Pedro da Cova, Gondomar",2, Porto
1692,"Apartamento em Loule, Sao Clemente",900.0,113.0,"Sao Clemente, Loule",2, Faro
1693,"T2 em condominio fechado c/ Piscina, de Novembro a Maio.",750.0,90.0,"Monte Gordo, Vila Real de Santo Antonio",2, Faro
1694,T2 a 500m Ponte D Luis Vista Rio,1250.0,100.0,"Mafamude e Vilar do Paraiso, Vila Nova de Gaia",2, Porto
1695,"Apartamento em Oliveira de Azemeis, Oliveira de Azemeis",580.0,111.0,"Oliveira de Azemeis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail, Oliveira de Azemeis",3, Aveiro
1696,"Apartamento em Alter do Chao, Alter do Chao",450.0,114.0,Alter do Chao,4, Portalegre
1697,Casa para aluguer no Centro do Porto (T2),1400.0,90.0,Ramalde,2, Porto
1698,APARTAMENTO T1 PARA ARRENDAMENTO EM PARQUE DAS NACOES,2500.0,59.0,Parque das Nacoes,1, Lisboa
1699,T1 Mobilado e equipado centro de Leiria,500.0,64.0,"Leiria, Pousos, Barreira e Cortes",1, Leiria
1700,T1 Mobilado junto ao Metro em Ramalde-Porto,1000.0,80.0,Ramalde,1, Porto
1701,T1 luminoso Benfica,1000.0,60.0,Benfica,1, Lisboa
